ambiguous_position_games,confirmed_defensive_innings,confirmed_defensive_outs,coverage_status,fielding_mentions,player,player_key,position,position_game_labels,season,team
1,0.0,0,position_label_only_no_defensive_innings,0,Maddie Moore,maddiemoore,3B,1,2026,Utah Talons
2,0.0,0,position_label_only_no_defensive_innings,4,Makayla McClain,makaylamcclain,SS,2,2026,Texas Volts
13,0.0,0,position_label_only_no_defensive_innings,4,Mary Iakopo,maryiakopo,C,13,2026,Chicago Bandits
10,0.0,0,position_label_only_no_defensive_innings,31,Maya Brady,mayabrady,CF,10,2026,Oklahoma City Spark
9,0.0,0,position_label_only_no_defensive_innings,30,McKenzie Clark,mckenzieclark,CF,9,2026,Carolina Blaze
2,0.0,0,position_label_only_no_defensive_innings,3,McKenzie Clark,mckenzieclark,RF,2,2026,Carolina Blaze
3,0.0,0,position_label_only_no_defensive_innings,10,Megan Grant,megangrant,3B,3,2026,Portland Cascade
5,0.0,0,position_label_only_no_defensive_innings,5,Megan Grant,megangrant,RF,5,2026,Portland Cascade
2,0.0,0,position_label_only_no_defensive_innings,0,Mia Davidson,miadavidson,C,2,2026,Portland Cascade
9,0.0,0,position_label_only_no_defensive_innings,6,Michaela Edenfield,michaelaedenfield,C,9,2026,Texas Volts
12,0.0,0,position_label_only_no_defensive_innings,36,Morgan Zerkle,morganzerkle,CF,12,2026,Chicago Bandits
2,0.0,0,position_label_only_no_defensive_innings,8,Morgan Zerkle,morganzerkle,LF,2,2026,Chicago Bandits
1,0.0,0,position_label_only_no_defensive_innings,2,Morgan Zerkle,morganzerkle,RF,1,2026,Chicago Bandits
7,0.0,0,position_label_only_no_defensive_innings,9,Rachel Becker,rachelbecker,2B,7,2026,Utah Talons
1,0.0,0,position_label_only_no_defensive_innings,0,Rachel Becker,rachelbecker,RF,1,2026,Utah Talons
1,0.0,0,position_label_only_no_defensive_innings,3,Rachel Becker,rachelbecker,SS,1,2026,Utah Talons
3,7.0,21,confirmed_clean_team_games_only,2,Rachel Garcia,rachelgarcia,1B,4,2026,Texas Volts
10,7.0,21,confirmed_clean_team_games_only,3,Reese Atwood,reeseatwood,C,11,2026,Carolina Blaze
8,0.0,0,position_label_only_no_defensive_innings,25,Rylie Boone,rylieboone,CF,8,2026,Texas Volts
1,0.0,0,position_label_only_no_defensive_innings,0,Rylie Boone,rylieboone,LF,1,2026,Texas Volts
11,7.0,21,confirmed_clean_team_games_only,23,Rylie Boone,rylieboone,RF,12,2026,Texas Volts
4,0.0,0,position_label_only_no_defensive_innings,14,Sahvanna Jaquish,sahvannajaquish,2B,4,2026,Utah Talons
10,0.0,0,position_label_only_no_defensive_innings,27,Sahvanna Jaquish,sahvannajaquish,3B,10,2026,Utah Talons
7,0.0,0,position_label_only_no_defensive_innings,4,Sahvanna Jaquish,sahvannajaquish,C,7,2026,Utah Talons
15,0.0,0,position_label_only_no_defensive_innings,37,Sami Williams,samiwilliams,3B,15,2026,Chicago Bandits
4,0.0,0,position_label_only_no_defensive_innings,1,Sarah Gordon,sarahgordon,C,4,2026,Utah Talons
7,0.0,0,position_label_only_no_defensive_innings,0,Sharlize Palacios,sharlizepalacios,C,7,2026,Utah Talons
6,0.0,0,position_label_only_no_defensive_innings,8,Sierra Romero,sierraromero,1B,6,2026,Texas Volts
5,7.0,21,confirmed_clean_team_games_only,16,Sierra Romero,sierraromero,2B,6,2026,Texas Volts
9,0.0,0,position_label_only_no_defensive_innings,23,Sierra Sacco-Ferrie,sierrasaccoferrie,LF,9,2026,Portland Cascade
14,0.0,0,position_label_only_no_defensive_innings,30,Sis Bates,sisbates,2B,14,2026,Portland Cascade
2,0.0,0,position_label_only_no_defensive_innings,3,Skylar Wallace,skylarwallace,CF,2,2026,Chicago Bandits
3,0.0,0,position_label_only_no_defensive_innings,6,Skylar Wallace,skylarwallace,SS,3,2026,Chicago Bandits
4,7.0,21,confirmed_clean_team_games_only,18,Sydney McKinney,sydneymckinney,LF,5,2026,Oklahoma City Spark
14,7.0,21,confirmed_clean_team_games_only,35,Sydney Romero,sydneyromero,SS,15,2026,Oklahoma City Spark
11,0.0,0,position_label_only_no_defensive_innings,24,Sydney Sherrill,sydneysherrill,2B,11,2026,Oklahoma City Spark
5,7.0,21,confirmed_clean_team_games_only,5,Sydney Sherrill,sydneysherrill,3B,6,2026,Oklahoma City Spark
12,0.0,0,position_label_only_no_defensive_innings,4,Sydney Stewart,sydneystewart,C,12,2026,Portland Cascade
11,0.0,0,position_label_only_no_defensive_innings,9,Taryn Kern,tarynkern,1B,11,2026,Chicago Bandits
1,0.0,0,position_label_only_no_defensive_innings,1,Taryn Kern,tarynkern,LF,1,2026,Chicago Bandits
2,0.0,0,position_label_only_no_defensive_innings,1,Taryn Kern,tarynkern,RF,2,2026,Chicago Bandits
10,0.0,0,position_label_only_no_defensive_innings,37,Taylor Biehl,taylorbiehl,SS,10,2026,Utah Talons
3,0.0,0,position_label_only_no_defensive_innings,3,Tianna Bell,tiannabell,RF,3,2026,Chicago Bandits
12,0.0,0,position_label_only_no_defensive_innings,38,Tiare Jennings,tiarejennings,SS,12,2026,Texas Volts
14,0.0,0,position_label_only_no_defensive_innings,25,Tori Vidales,torividales,1B,14,2026,Portland Cascade
3,0.0,0,position_label_only_no_defensive_innings,2,Valerie Cagle,valeriecagle,1B,3,2026,Carolina Blaze
3,0.0,0,position_label_only_no_defensive_innings,8,Valerie Cagle,valeriecagle,RF,3,2026,Carolina Blaze
